Review_date,Title,Series,Author,Overall_Rating,Genre,Price,Reviewer,Individual_Rating,Review_Date,Review,Pages_published,Description
2023-07-03,Pageboy,,Elliot Page,4.02,"['Nonfiction', 'Memoir', 'LGBT', 'Queer', 'Audiobook', 'Biography', 'Biography Memoir']",Buy on Amazon,myo ⋆｡˚ ❀ *,,"December 14, 2022",not my bf in his writer era,"271 pages                             First published June 6, 2023","Pageboy                              is a groundbreaking coming-of-age memoir from the Academy Award-nominated actor Elliot Page. A generation-defining actor and one of the most famous trans advocates of our time, Elliot will now be known as an uncommon literary talent, as he shares never-before-heard details and intimate interrogations on gender, love, mental health, relationships, and Hollywood."
2023-07-03,Pageboy,,Elliot Page,4.02,"['Nonfiction', 'Memoir', 'LGBT', 'Queer', 'Audiobook', 'Biography', 'Biography Memoir']",Buy on Amazon,booksandzoe,Rating 3 out of 5,"June 9, 2023","PAGEBOY was my most hotly anticipated book of the year. As a huge Elliot Page fan, I've been so excited to read this book since the first announcement, but I left feeling a bit... bereft and disappointed. I want to write this review with the utmost care, as obviously the state of trans rights is absolutely devastating right now, but I also want to review the book fairly, as I would any other. No doubt I will be coming back to this review to edit and rework, as I'm still processing the book in its entirety, but I'm going to stick with my initial thoughts here.                                      It feels odd to rate memoirs, as it feels inherently like rating the details of one's life as they lay them out so nakedly, so I want to be clear when rating and evaluating this book, in no way am I rating the actual content (stories/experiences) Page is recounting here, but rather just the way they are told narratively.                                      I've seen many reviews touch on this already, but the structure of the book is very non-cohesive. I don't so much have an issue with non-linear narratives, but the purpose of such a narrative choice is deliberate, to group like stories together to craft a narrative punch. The ways in which Page jumps back and forth between past and present rarely feel cohesive, or on any kind of theme, which ultimately lacks that punch, instead feeling a bit confusing and all over the place.                                      My other complaint is the way that Page leaves the majority of the stories he tells within the pages feeling unfinished, half-baked. The most powerful part of memoir, in my opinion, is the deeper level of thinking the author performs for the reader, building the connection of experience and self throughout the pages to let the reader feel completely ""in"" on the significance of the memories. While Page tells stories that are very impactful and interesting, there are many times where I just wanted more link to the significances of the stories, however they were often left unspoken and left to the interpretation of the reader. Including these would have also likely fixed the first problem of the lack of cohesion by interrogating the significances of each story and how they relate to each other to build the larger narrative.                                      My personal assumption is that Page didn’t know exactly what story he set to tell by writing this book, which explains the lack of cohesion, theme, and overall narrative pull. I think some of the stories could be removed, and others added, to create a memoir that feels more complete, and a stronger editing hand would’ve definitely been extremely helpful in that process.                                      Still, as an aforementioned huge fan of Elliot, I appreciated the deeper look into his life and experiences as a trailblazer both in publicly identifying as a lesbian for a long time in the public eye, and later as a trans man. I loved being able to see into his mind through stories both from his personal, family life and Hollywood, and definitely still found great value in many of the stories told, even if I ultimately wanted more from the structure and depth.","271 pages                             First published June 6, 2023","Pageboy                              is a groundbreaking coming-of-age memoir from the Academy Award-nominated actor Elliot Page. A generation-defining actor and one of the most famous trans advocates of our time, Elliot will now be known as an uncommon literary talent, as he shares never-before-heard details and intimate interrogations on gender, love, mental health, relationships, and Hollywood."
2023-07-03,Pageboy,,Elliot Page,4.02,"['Nonfiction', 'Memoir', 'LGBT', 'Queer', 'Audiobook', 'Biography', 'Biography Memoir']",Buy on Amazon,Nin,Rating 1 out of 5,"June 10, 2023","I always feel so weird giving someone's memoir a 'star rating', particularly if it is someone I like or someone who's had a pretty rough time of it. Elliot Page is both those things, and I was really looking forward to this, read it in a day and felt really disappointed.                                      The first issue I had was that this is a non linear narrative, which works well with other writing styles and memoirs (hello Maggie Nelson - EP also apparently a fan, excellent taste). I strongly felt it didn't start working for 'Pageboy' until 60% + of the way through. I would imagine if I listened to this rather than reading it, I would've had to rewind several times. Chapters, especially in the first half, aren't really grouped thematically, you constantly jump from age 7 to 22 to 30 to now to 12, events linked with apparently no or little through line. This improves as the book goes on, but I felt a really good editor would've been helpful.                                      The next issue I had is the rather stunning lack of introspection. There are so many fairly colossal incidents detailed - sexual assaults after sexual assaults, homophobic incidents, violence threatened again and again in a continual stream of one two punches, their magnitude horrifying but all too familiar to those of us who have experienced such similar circumstances as a result of our gender or sexuality. I do not wish to make Elliot ruminate on such things, but to include them, and include no introspective discussion afterwards when the events are so frequent, does a disservice in a sense to the narrative... I didn't come away from this feeling I knew Page any better as a person, just that I know more things that have happened to him, like a NSFW and devastatingly sad Wikipedia entry.                                      The lack of introspection I found most surprising was that there was no discussion whatsoever of breaking the gender binary of clothing and stereotypes - indeed, Page's conclusion of female children being stuffed into feminine clothing they hate was 'I hated it, because I was a boy', there is nothing that scratches beneath the surface of 'skirts for girls, trousers for boys' from Page's POV, which felt disappointing as someone who is such an icon for gender non conformity and LGBT rights.                                      As a lesbian, and as most lesbians I’ve come across have experienced, we all hated being stuffed into feminine clothes and having our Batman costumes tutted at, and loathed being called girly names and 'pretty'. Other trans memoirs I have read dive into the feelings and emotions behind the stereotypes of clothing and gendered language into something that is sometimes more ethereal and intangible, almost a phenomenological study into the self. Of course, Page not putting pen to paper and including this doesn't negate his identity, experiences or feelings, but it does just leave an extremely shallow view of trans identity being around clothes, stereotypes and 'hating being perceived as a lesbian'.                                      In fact, towards the very end of the memoir Page lets this very question dangle in mid air before never answering or resolving it. I cannot stress how much homophobia there is in this memoir. To be honest, I've been spat at, assaulted, shouted at, and feel fairly robust in being able to deal with it and talk about it but hell, reading EP's experiences really effected me and I had to put it down a few times. Only the last 9% of the book is about physical transition, so the vast, vast majority of the narrative is around being a closeted 'lesbian' (using Page's own words to describe), being an out 'lesbian' and being metaphorically kicked up and down the societal corridors for it. To include the part about people judging his trans identity as a reaction to homophobia and then just never mention it again after reams and reams of homophobia, is to dangle a question that it seems Page didn't want to answer for whatever reason. Again it is up to him what to include, but by the end there were so many loose threads, with such comparatively little discussion as to what caused the identity shift and acceptance from 'out' lesbianism to - presumably - heterosexual trans man was quite startling.                                      Another dropped thread is the revelations of Page’s eating disorder, which is quite a large and impactful part of the middle section, and then promptly disappears, further unanswered dangling questions. People have expressed recent concern for Elliot’s weight, which I know public speculation is cruel and unhelpful, so I would’ve thought this would’ve been a chance to comment or resolve, but it turns into another half baked thread abandoned in the mess of the non linear “and then, but before, and now, and then” narrative.                                      Again, other trans memoirs I have read discuss the convergence of 'crossing over' from being seen as a lesbian or gay man, to public assimilation into heterosexuality by virtue of their gender identity. I've read quite a few books by transmen who were formally lesbians who discussed how difficult they found this aspect of their transitions - feeling like heterosexual dynamics didn't quite suit them, feeling of losing a community, feeling like they were joining an oppressor class (male) and sometimes feelings of guilt for this. Again nothing, zero, zilch. There are only two mentions of romantic life post transition - one where Elliot is so full of self loathing it breaks my heart, saying he is meeting a girl from the internet for a date, and he wonders if she is only meeting him as 'a joke' because of his transition. The other is with highly sexualised language (go for it pal), in which Page refers to his natal genitals as his 'pussy' and liking being 'fucked' in his pussy. I hope people realise that not all trans men like that kinda language (obviously EP can like what he likes!).                                      Some memoirs I feel I 'know' the people they're discussing, the primary and secondary characters in their lives - Viola Davis's recent memoir and Maggie Nelson again come to mind - such is the power of their communicative writing. Everyone around Page felt frustratingly one dimensional, including his mother, whose backstory would've been contextually helpful to know at the beginning, but instead was given around 70% of the way through?                                      I was a big fan of Juno as a teenager, but a bigger fan of Gaycation. To my disappointment, that incredibly important series was mentioned I believe only one time, when Page talked to a trans woman about her identity and she affirmed his. I feel that this was an incredibly wasted opportunity - Page got to travel the world and meet some of the most interesting LGBT people living in the most diverse political and cultural landscapes. To have even a bit of discussion of the toll this must've taken on him, meeting people whose parents hated them, who lived in huts in mountains to escape homophobia, who were beaten in streets by police, I feel would've made me feel I knew Page a bit more off camera.                                      Considering Page's role as - at one time - the most famous Millennial lesbian, I was a bit disappointed that there was so much unending homophobia (which, trust me, I know is also true of life!), but then Page's marriage to Emma was only mentioned in past tense ('my ex spouse'). I suppose this may be to protect Emma's privacy which I understand, but to not have even a moment of beauty in the progress of marriage equality and Elliot's privilege in being able to receive it at a time when only roughly 30/190 countries worldwide had advanced to marriage equality is a shame.                                      The memoir ends very abruptly with a sort of 'top surgery and all was well' angle, but again I would be interested to know why EP chose top surgery before testosterone, which is fairly unusual practice with trans men's medical treatment in the US. Give me something but tales of homophobia EP, I beg of you! There was so little discussion of transition, of the potential fears, pitfalls, the new fangled joy, that I was very surprised when I hit the 'Acknowledgements' section. I feel this could've been an excellent book in a few years time, but it felt so rushed and jumbled. I'm sure it would've been planned for pride month release purposefully, but even just a few more months, or a longer book (love me a long memoir), could've been brilliant. So much potential, and there are some really nice bits of poetic prose, but ultimately squandered.                                      Also, I hope Kate Mara gave permission for those very.. intimate.. details! Ahem.                                      Still think you're great Elliot, just wanted so much more!!                                      Edit: grammatical errors","271 pages                             First published June 6, 2023","Pageboy                              is a groundbreaking coming-of-age memoir from the Academy Award-nominated actor Elliot Page. A generation-defining actor and one of the most famous trans advocates of our time, Elliot will now be known as an uncommon literary talent, as he shares never-before-heard details and intimate interrogations on gender, love, mental health, relationships, and Hollywood."
2023-07-03,Pageboy,,Elliot Page,4.02,"['Nonfiction', 'Memoir', 'LGBT', 'Queer', 'Audiobook', 'Biography', 'Biography Memoir']",Buy on Amazon,cloud,Rating 4 out of 5,"June 21, 2023","“Let me just exist with you, happier than ever.”                                      the minute i started the book i knew elliot was a reader. he has such a way of writing and describing details and feelings that you can tell this is someone who gets lost in other worlds. and i am a huge fan of it! i also loved the nonlinear storytelling elliot choose. as an adhd girlie, i tend to be all over the place when it comes to sharing stories and experiences. so reading this book felt like i was sitting down and having a conversation with elliot rather than reading a memoir. anyways, this was one of, if not my most, anticipated releases of the year and i devoured every second of it.","271 pages                             First published June 6, 2023","Pageboy                              is a groundbreaking coming-of-age memoir from the Academy Award-nominated actor Elliot Page. A generation-defining actor and one of the most famous trans advocates of our time, Elliot will now be known as an uncommon literary talent, as he shares never-before-heard details and intimate interrogations on gender, love, mental health, relationships, and Hollywood."
2023-07-03,Pageboy,,Elliot Page,4.02,"['Nonfiction', 'Memoir', 'LGBT', 'Queer', 'Audiobook', 'Biography', 'Biography Memoir']",Buy on Amazon,virgogh,,"December 14, 2022",he look good as hell on the cover teehee,"271 pages                             First published June 6, 2023","Pageboy                              is a groundbreaking coming-of-age memoir from the Academy Award-nominated actor Elliot Page. A generation-defining actor and one of the most famous trans advocates of our time, Elliot will now be known as an uncommon literary talent, as he shares never-before-heard details and intimate interrogations on gender, love, mental health, relationships, and Hollywood."
2023-07-03,Pageboy,,Elliot Page,4.02,"['Nonfiction', 'Memoir', 'LGBT', 'Queer', 'Audiobook', 'Biography', 'Biography Memoir']",Buy on Amazon,elio,Rating 5 out of 5,"July 1, 2023",THIS IS MY MOST ANTICIPATED RELEASE EVER AND EVERY DAY WITHOUT IT HURTS pls i'm currently begging for an advanced copy at work                                      update                                      IM FINALLY ABLE TO READ THIS                                      i love him,"271 pages                             First published June 6, 2023","Pageboy                              is a groundbreaking coming-of-age memoir from the Academy Award-nominated actor Elliot Page. A generation-defining actor and one of the most famous trans advocates of our time, Elliot will now be known as an uncommon literary talent, as he shares never-before-heard details and intimate interrogations on gender, love, mental health, relationships, and Hollywood."
2023-07-03,Pageboy,,Elliot Page,4.02,"['Nonfiction', 'Memoir', 'LGBT', 'Queer', 'Audiobook', 'Biography', 'Biography Memoir']",Buy on Amazon,londonfoglibrarian,Rating 5 out of 5,"June 4, 2023","i am but a simple bitch. elliot page speaks, and i listen. excited to see you go off king!","271 pages                             First published June 6, 2023","Pageboy                              is a groundbreaking coming-of-age memoir from the Academy Award-nominated actor Elliot Page. A generation-defining actor and one of the most famous trans advocates of our time, Elliot will now be known as an uncommon literary talent, as he shares never-before-heard details and intimate interrogations on gender, love, mental health, relationships, and Hollywood."
2023-07-03,Pageboy,,Elliot Page,4.02,"['Nonfiction', 'Memoir', 'LGBT', 'Queer', 'Audiobook', 'Biography', 'Biography Memoir']",Buy on Amazon,Sarah,Rating 4 out of 5,"June 20, 2023","Pageboy                                      details the actor Elliot Page’s life-experiences. From growing up knowing that they identified more as male, but having to suppress that side of themselves as they became a famous actor. To having to hide their sexuality from the public before they bravely came out as gay in 2014. Then as a trans man in late 2020. Elliot uses he/they pronouns.                                       4 stars                                      from me because narratively, it doesn’t flow as cohesively as it should when jumping from the past to the present day. It is his story to tell, and I respect Elliot immensely, but I would have rather read his experiences growing up more linear. I see a lot of others agreeing here. More editing to shuffle around these chapters would have really helped here. If this has been down, I easily could have rated it higher.                                      I still think this is a very important book and I would urge anybody to read it, regardless of your own sexual orientation or gender identity. Please retain Elliot’s experiences here, I beg of you.                                      I think a lot more people                                       need                                      to listen to trans people, allow their voices to be heard and learn about their experiences more overall. There is too much hatred and vitriol out there in this world still. We can work together to help stamp it out, but as a society, we sadly still have a long way to go.                                       ”Hollywood is built on leveraging queerness. Tucking it away when needed, pulling it out when beneficial, while patting themselves on the back. Hollywood doesn't lead the way, it responds, it follows, slowly and far behind. The depth of that closet, the trove of secrets buried, indifferent to the consequences. I was punished for being queer while I watched others be protected and celebrated, who gleefully abused people in the wide open.”                                      🏳️‍⚧️🏳️‍🌈💕","271 pages                             First published June 6, 2023","Pageboy                              is a groundbreaking coming-of-age memoir from the Academy Award-nominated actor Elliot Page. A generation-defining actor and one of the most famous trans advocates of our time, Elliot will now be known as an uncommon literary talent, as he shares never-before-heard details and intimate interrogations on gender, love, mental health, relationships, and Hollywood."
2023-07-03,Pageboy,,Elliot Page,4.02,"['Nonfiction', 'Memoir', 'LGBT', 'Queer', 'Audiobook', 'Biography', 'Biography Memoir']",Buy on Amazon,T,Rating 1 out of 5,"June 6, 2023","the prose strains to be poetic, and there’s a lot about shitting; i don’t think elliot and i would get along, and that’s okay.","271 pages                             First published June 6, 2023","Pageboy                              is a groundbreaking coming-of-age memoir from the Academy Award-nominated actor Elliot Page. A generation-defining actor and one of the most famous trans advocates of our time, Elliot will now be known as an uncommon literary talent, as he shares never-before-heard details and intimate interrogations on gender, love, mental health, relationships, and Hollywood."
2023-07-03,Pageboy,,Elliot Page,4.02,"['Nonfiction', 'Memoir', 'LGBT', 'Queer', 'Audiobook', 'Biography', 'Biography Memoir']",Buy on Amazon,Jackson Theofore Keys,Rating 3 out of 5,"June 7, 2023","As a trans person, I really wanted to like this book. I had already purchased it months before it was out. Yesterday, I listened to the whole book on Audible. Well, yuck. The book was a confusing mix of time periods in Elliot's life. It was obvious what was from his childhood, but the material from his adulthood was totally confusing. I couldn't tell when what circumstance he was talking about occurred. Was it before the last one? After the one before that? I think a timeline would be necessary to figure out this jumble of stories. Also, he threw out first names of famous people as if I ought to know the person by their first name only. Well, maybe I'm too old, but who the heck are these people? Why should I care? Finally, Page's writing style was very stylized. I don't know if that's how he actually thinks or if he was just trying too hard to sound interesting and intellectual. Now, to be truthful on my part, I gave Page an extra star because he tried to explain the trans experience; although, he didn't do a very good job. If I were going to rate the book just on its own merits, it would be 2 stars.","271 pages                             First published June 6, 2023","Pageboy                              is a groundbreaking coming-of-age memoir from the Academy Award-nominated actor Elliot Page. A generation-defining actor and one of the most famous trans advocates of our time, Elliot will now be known as an uncommon literary talent, as he shares never-before-heard details and intimate interrogations on gender, love, mental health, relationships, and Hollywood."
